app       , args                                                      , ranks, quartz , ruby   , lassen, borax , boraxo, corona-cpu, dane  , mammoth, matrix-cpu, matrix-gpu, tioga-cpu, tioga-gpu, tuolumne-cpu, tuolumne-gpu
amg       , -problem1-p442-n12812864                                  , 32   , 1.0    , 1.4861 ,       , 0.9738, 1.2155,           , 0.9821, 1.0446 , 1.0943    ,           , 1.2496   ,          , 2.2508      , 
amg       , -problem1-p442-n16168                                     , 32   , 1.0    , 1.1692 ,       , 0.1574, 0.1489,           , 0.1452, 0.1279 , 0.1475    ,           , 0.1449   ,          , 0.1133      , 
amg       , -problem1-p442-n323216                                    , 32   , 1.0    , 1.4206 ,       , 0.3497, 0.3631,           , 0.3528, 0.3103 , 0.3364    ,           , 0.4827   ,          , 0.3223      , 
amg       , -problem1-p442-n646432                                    , 32   , 1.0    , 1.4411 ,       , 0.7051, 0.8565,           , 0.7219, 0.7347 , 0.7594    ,           , 0.9862   ,          , 1.2227      , 
amg       , -problem1-p442-n884                                       , 32   , 1.0    , 0.3915 ,       , 0.1281, 0.1209,           , 0.1147, 0.1037 , 0.1167    ,           , 0.1471   ,          ,             , 
amg       , -problem2-p111-n128128128                                 , 1    , 1.0    , 1.1147 ,       , 0.1318, 0.1001,           , 0.1958, 0.1732 , 0.1822    ,           , 0.2012   ,          , 0.1991      , 
amg       , -problem2-p111-n161616                                    , 1    , 1.0    , 0.3869 ,       , 0.5396, 0.4017,           , 0.5243, 0.4023 , 0.653     ,           , 0.6408   ,          , 0.7079      , 
amg       , -problem2-p111-n256256256                                 , 1    , 1.0    , 1.2177 ,       , 0.11  ,       ,           , 0.1468, 0.1412 , 0.1544    ,           , 0.1629   ,          , 0.1429      , 
amg       , -problem2-p111-n323232                                    , 1    , 1.0    , 0.6297 ,       , 0.3723, 0.2823,           , 0.5458, 0.4108 , 0.5898    ,           , 0.5161   ,          , 0.6196      , 
amg       , -problem2-p111-n646464                                    , 1    , 1.0    , 0.7781 ,       , 0.1682, 0.1287,           , 0.2409, 0.2105 , 0.2255    ,           , 0.2511   ,          , 0.2587      , 
amg       , -problem2-p111-n888                                       , 1    , 1.0    , 1.5149 ,       , 0.7084, 0.5066,           , 0.5109, 0.3824 , 0.6901    ,           , 0.722    ,          , 0.7328      , 
amg       , -problem2-p442-n12812864                                  , 32   , 1.0    , 1.4522 ,       , 0.9254, 1.3005,           , 0.9311, 1.0451 , 1.0293    ,           , 1.2358   ,          , 2.9044      , 
amg       , -problem2-p442-n16168                                     , 32   , 1.0    , 1.2053 ,       , 0.4573, 0.4208,           , 0.4565, 0.3755 , 0.4953    ,           , 0.4434   ,          , 0.3564      , 
amg       , -problem2-p442-n323216                                    , 32   , 1.0    , 1.514  ,       , 0.6839, 0.9125,           , 0.7916, 0.7465 , 0.89      ,           , 1.6451   ,          , 1.3535      , 
amg       , -problem2-p442-n646432                                    , 32   , 1.0    , 1.4101 ,       , 0.7865, 1.0466,           , 0.8097, 0.8972 , 0.893     ,           , 1.0658   ,          , 2.2411      , 
amg       , -problem2-p442-n884                                       , 32   , 1.0    , 1.1761 ,       , 0.3284, 0.3123,           , 0.3081, 0.2601 , 0.3217    ,           , 0.3824   ,          , 0.2376      , 
kripke.exe, --niter10--pmethodbj--groups16--legendre0                 , 1    , 1.0    , 2.2571 , 0.4018,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter10--pmethodbj--groups16--legendre0--procs4,4,2"   , 32   , 1.0    , 1.5158 ,       ,       ,       ,           , 0.1196, 0.1173 ,           ,           ,          ,          ,             , 
kripke.exe, --niter10--pmethodbj--groups16--legendre1                 , 1    , 1.0    , 2.2177 , 0.5122,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter10--pmethodbj--groups16--legendre1--procs4,4,2"   , 32   , 1.0    , 1.3819 ,       ,       ,       ,           , 0.123 , 0.1343 ,           ,           ,          ,          ,             , 
kripke.exe, --niter10--pmethodbj--groups16--legendre2                 , 1    , 1.0    , 2.1102 , 0.6168,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter10--pmethodbj--groups16--legendre2--procs4,4,2"   , 32   , 1.0    , 1.3678 ,       ,       ,       ,           , 0.1386, 0.1653 ,           ,           ,          ,          ,             , 
kripke.exe, --niter10--pmethodbj--groups16--legendre3                 , 1    , 1.0    , 2.1452 , 0.8203,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter10--pmethodbj--groups16--legendre3--procs4,4,2"   , 32   , 1.0    , 1.5583 ,       ,       ,       ,           , 0.1745, 0.2258 ,           ,           ,          ,          ,             , 
kripke.exe, --niter10--pmethodbj--groups16--legendre4                 , 1    , 1.0    , 2.1487 , 1.2163,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter10--pmethodbj--groups16--legendre4--procs4,4,2"   , 32   , 1.0    , 1.4195 ,       ,       ,       ,           , 0.1839, 0.2525 ,           ,           ,          ,          ,             , 
kripke.exe, --niter10--pmethodbj--groups32--legendre0                 , 1    , 1.0    , 2.2322 , 0.4626,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter10--pmethodbj--groups32--legendre0--procs4,4,2"   , 32   , 1.0    , 1.3253 ,       ,       ,       ,           , 0.1959, 0.2041 ,           ,           ,          ,          ,             , 
kripke.exe, --niter10--pmethodbj--groups32--legendre1                 , 1    , 1.0    , 2.1258 , 0.5761,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter10--pmethodbj--groups32--legendre1--procs4,4,2"   , 32   , 1.0    , 1.37   ,       ,       ,       ,           , 0.2304, 0.2533 ,           ,           ,          ,          ,             , 
kripke.exe, --niter10--pmethodbj--groups32--legendre2                 , 1    , 1.0    , 2.0081 , 0.8283,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter10--pmethodbj--groups32--legendre2--procs4,4,2"   , 32   , 1.0    , 1.3659 ,       ,       ,       ,           , 0.2747, 0.3134 ,           ,           ,          ,          ,             , 
kripke.exe, --niter10--pmethodbj--groups32--legendre3                 , 1    , 1.0    , 2.0671 , 1.398 ,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 0.1227
kripke.exe, "--niter10--pmethodbj--groups32--legendre3--procs4,4,2"   , 32   , 1.0    , 1.3848 ,       ,       ,       ,           , 0.3352, 0.4026 ,           ,           ,          ,          ,             , 
kripke.exe, --niter10--pmethodbj--groups32--legendre4                 , 1    , 1.0    , 2.0402 , 1.7549,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 0.1576
kripke.exe, "--niter10--pmethodbj--groups32--legendre4--procs4,4,2"   , 32   , 1.0    , 1.351  ,       ,       ,       ,           , 0.3721, 0.4921 ,           ,           ,          ,          ,             , 
kripke.exe, --niter10--pmethodbj--groups8--legendre0                  , 1    , 1.0    , 2.0596 , 0.2207,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter10--pmethodbj--groups8--legendre0--procs4,4,2"    , 32   , 1.0    , 1.5157 ,       ,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, --niter10--pmethodbj--groups8--legendre1                  , 1    , 1.0    , 2.1682 , 0.2706,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter10--pmethodbj--groups8--legendre1--procs4,4,2"    , 32   , 1.0    , 1.5285 ,       ,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, --niter10--pmethodbj--groups8--legendre2                  , 1    , 1.0    , 2.0323 , 0.3682,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter10--pmethodbj--groups8--legendre2--procs4,4,2"    , 32   , 1.0    , 1.4652 ,       ,       ,       ,           ,       , 0.1025 ,           ,           ,          ,          ,             , 
kripke.exe, --niter10--pmethodbj--groups8--legendre3                  , 1    , 1.0    , 2.0827 , 0.5416,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter10--pmethodbj--groups8--legendre3--procs4,4,2"    , 32   , 1.0    , 1.449  ,       ,       ,       ,           ,       , 0.1123 ,           ,           ,          ,          ,             , 
kripke.exe, --niter10--pmethodbj--groups8--legendre4                  , 1    , 1.0    , 2.0567 , 0.6276,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter10--pmethodbj--groups8--legendre4--procs4,4,2"    , 32   , 1.0    , 1.3968 ,       ,       ,       ,           , 0.1124, 0.1334 ,           ,           ,          ,          ,             , 
